,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
260,2022-07-22 09:31:00-04:00,20220722093100,29.644,28.294,30.234,27.726,149400416,4469499904.0,-5.04,0.318,False,False,53.4185031084597,False,False,13.288438971859648,4.6922698654265105,True,False,-74.80301978785249,30.674461796594926,False,False,False,False,0,0,0,0,0.0
261,2022-07-25 09:31:00-04:00,20220725093100,28.294,27.854,28.824,27.189,110448776,3187789056.0,-4.95,0.357,False,False,56.57499520614179,False,False,16.987830197503655,3.699391225644007,True,False,-77.52355351870622,19.645127660666454,False,False,False,False,0,0,0,0,0.0
262,2022-07-26 09:31:00-04:00,20220726093100,27.254,26.094,27.624,25.829,115877792,3208099840.0,-4.885,0.291,False,True,56.92022326482929,False,False,18.26576344466727,1.2779332471636167,True,False,-83.36729782070815,-9.803005325300576,False,False,False,False,0,0,0,0,0.0
263,2022-07-27 09:31:00-04:00,20220727093100,27.364,29.504,29.984,27.104,170959456,5075450368.0,-4.774,0.413,False,False,61.807091661649295,False,False,22.39975536790655,4.133991923239279,True,False,-71.10516399574735,50.99862997230579,False,False,False,False,0,0,0,0,0.0
264,2022-07-28 09:31:00-04:00,20220728093100,29.439,30.384,31.954,28.3,162035952,5001116672.0,-4.654,0.549,False,False,67.28765120727522,False,False,28.074304378831528,5.674549010924977,True,False,-63.5793152238641,84.72801535645596,False,False,False,False,0,0,0,0,0.0
265,2022-07-29 09:31:00-04:00,20220729093100,30.894,32.124,32.374,30.494,146073152,4697164800.0,-4.514,0.738,False,False,74.46129948292355,False,False,36.12078014664101,8.046475767809483,True,False,-55.44707787091038,119.43266845541694,False,False,False,False,0,0,0,0,0.0
266,2022-08-01 09:31:00-04:00,20220801093100,31.544,32.074,33.174,31.214,142641472,4758812672.0,-4.378,0.873,False,False,80.69291612291417,False,False,43.39954540721061,7.2787652605696,True,False,-52.0160691849185,126.98778910121193,False,False,False,False,0,0,0,0,0.0
267,2022-08-02 09:31:00-04:00,20220802093100,31.304,31.764,33.101,30.934,162687536,5396793344.0,-4.251,0.95,False,False,85.72019770406179,False,False,49.43317094356408,6.033625536353469,True,False,-52.19639617477525,115.33420298542696,False,False,False,False,0,0,0,0,0.0
268,2022-08-03 09:31:00-04:00,20220803093100,32.314,34.404,34.7,31.544,147106848,5116152320.0,-4.093,1.136,False,False,92.89169531089397,False,False,55.637326928680835,6.204155985116756,True,False,-42.90210384703342,147.42850435427883,False,False,False,False,0,0,0,0,0.0
269,2022-08-04 09:31:00-04:00,20220804093100,34.454,34.914,35.114,33.734,126783592,4531233280.0,-3.933,1.292,False,False,99.29419497308433,False,False,61.37200420619598,5.734677277515146,True,False,-36.53145009058479,163.2482197904391,False,False,False,False,0,0,0,0,0.0
270,2022-08-05 09:31:00-04:00,20220805093100,33.194,34.054,35.144,32.924,141949312,4982192128.0,-3.791,1.352,False,False,103.73972934945603,False,False,65.58528324076732,4.213279034571343,True,False,-38.55843119062214,147.21487201898378,False,False,False,False,0,0,0,0,0.0
271,2022-08-08 09:31:00-04:00,20220808093100,34.364,33.694,35.564,33.214,134380416,4639637504.0,-3.659,1.363,False,False,106.63800159796558,False,False,68.15297742686839,2.5676941861010647,True,False,-37.071238815433816,141.49788044829967,False,False,False,False,0,0,0,0,0.0
272,2022-08-09 09:31:00-04:00,20220809093100,33.044,32.494,33.844,31.959,109203008,3677377536.0,-3.547,1.291,False,True,107.59794651994945,False,False,68.56435956859093,0.41138214172254095,True,False,-43.799700984769565,107.04691092389972,False,False,False,False,0,0,0,0,0.0
273,2022-08-10 09:31:00-04:00,20220810093100,34.899,35.264,35.374,32.434,135777232,4919694336.0,-3.402,1.362,False,False,111.73222247102458,False,False,70.94236317450785,2.3780036059169163,True,False,-33.94766504661004,131.52654799684802,False,False,False,False,0,0,0,0,0.0
274,2022-08-11 09:31:00-04:00,20220811093100,36.094,34.714,36.784,34.444,136680512,5027063296.0,-3.27,1.372,False,False,113.27426932221431,False,False,72.2179785408254,1.2756153663175525,True,False,-27.562990077991216,141.5108633839758,False,False,False,False,0,0,0,0,0.0
275,2022-08-12 09:31:00-04:00,20220812093100,35.364,36.744,36.814,34.895,105593488,3993817856.0,-3.115,1.466,False,False,116.79251014034395,False,False,74.94883708414714,2.7308585433217445,True,False,-21.771548988754546,148.76309659637522,False,False,False,False,0,0,0,0,0.0
276,2022-08-15 09:31:00-04:00,20220815093100,36.414,37.654,37.842,36.094,98154216,3790024192.0,-2.955,1.569,False,False,119.6584268259596,False,False,77.89419810058673,2.945361016439591,True,False,-14.69724449648105,158.02423798623903,False,False,False,False,0,0,0,0,0.0
277,2022-08-16 09:31:00-04:00,20220816093100,37.324,37.404,38.144,36.314,110377896,4245679104.0,-2.805,1.615,False,False,121.48210674487416,False,False,80.28929227000197,2.3950941694152306,True,False,-13.236843062931973,150.1242039181755,False,False,False,False,0,0,0,0,0.0
278,2022-08-17 09:31:00-04:00,20220817093100,36.274,36.064,37.078,35.334,131419168,4910612992.0,-2.679,1.56,False,True,121.53897870722156,False,False,81.21139901269686,0.9221067426948935,True,False,-19.231134085169394,126.69423806857144,False,False,False,False,0,0,0,0,0.0
279,2022-08-18 09:31:00-04:00,20220818093100,36.024,36.314,36.704,35.499,96070424,3597384448.0,-2.555,1.511,False,True,121.70616639057071,False,False,81.78717459186049,0.5757755791636328,True,False,-18.457864401057368,123.00365161729383,False,False,False,False,0,0,0,0,0.0
280,2022-08-19 09:31:00-04:00,20220819093100,35.244,34.114,35.684,33.654,112128336,3934379776.0,-2.465,1.338,False,True,119.3821247853087,False,False,80.31945090791385,-1.4677236839466445,False,True,-28.304199094729963,93.87577109667572,False,False,False,False,0,0,0,0,0.0
281,2022-08-22 09:31:00-04:00,20220822093100,32.654,31.334,32.914,31.029,112487712,3677281024.0,-2.416,1.041,False,True,114.08416985341658,False,True,75.96790018038635,-4.351550727527496,False,True,-44.64269207399261,51.39568349139164,False,False,False,False,0,0,0,0,0.0
